date,x1,x2,x3,x4,x5,x6,x7,x8
0.0,-0.11010893733043424,-0.07337251737841409,-0.06297671489788152,-0.094990749030842,-0.023382940472071123,-1.0,-1.0,1.0
1.0,-0.11010893733043424,-0.07337251737841409,-0.06297671489788152,-0.094990749030842,-0.023382940472071123,-1.0,-1.0,1.0
2.0,-0.10996946508628327,-0.07324215793993613,-0.06285286200116241,-0.09486917450768594,-0.02327603564475578,-0.9998082504064072,-0.9998392328512904,0.997799897939784
3.0,-0.10970584923707737,-0.07299576399032956,-0.0626187632068341,-0.09463937771655347,-0.023073960347821817,-0.9994457723473732,-0.999535240652063,0.9936468386174495
4.0,-0.10932798025993054,-0.07264309934650633,-0.06228418787176976,-0.09431143077024712,-0.022785993134898826,-0.9989299526786968,-0.9991031727862943,0.9877630551747401
5.0,-0.10884132013506392,-0.07219019565605443,-0.061855746236572674,-0.09389268462388117,-0.022419354104720693,-0.9982750875303015,-0.9985560988659409,0.9803483270891797
6.0,-0.10824765484423109,-0.07163998587566843,-0.0613374209434518,-0.09338821785503379,-0.02197953191238216,-0.9974928412353126,-0.9979052805207275,0.9715821979955523
7.0,-0.1075456450954402,-0.07099278272104746,-0.0607309804966401,-0.09280119565020291,-0.021470552478401232,-0.9965926336479678,-0.9971604074319887,0.9616259766095949
8.0,-0.10673121767802539,-0.07024663361588927,-0.06003629766663105,-0.09213315553213357,-0.0208951993484147,-0.9955819668527742,-0.9963298023006444,0.9506245417928862
9.0,-0.10579782977827491,-0.06939757666336532,-0.059251591088873165,-0.09138423321445657,-0.020255193932121177,-0.9944667005715735,-0.99542059882526,0.9387079707758488
10.0,-0.10473663075945736,-0.06843981664990542,-0.058373604512406155,-0.09055333941293997,-0.019551342422789324,-0.9932512841402098,-0.9944388962322361,0.9259930077257617
11.0,-0.10353653981514159,-0.0673658357452024,-0.057397735120182716,-0.08963829636512345,-0.018783655017117557,-0.9919389517122543,-0.9933898934360493,0.9125843881908065
12.0,-0.10218425314238565,-0.06616645013059107,-0.056318119915713644,-0.08863594112174955,-0.017951442077111898,-0.9905318863198193,-0.9922780055040237,0.898576033453075
13.0,-0.10066419054364184,-0.06483082107154788,-0.05512768722678202,-0.08754220130081629,-0.017053391065877443,-0.9890313575521792,-0.9911069647494444,0.8840521274683786
14.0,-0.09895838841542554,-0.06334642679317291,-0.0538181788179279,-0.08635214787868553,-0.016087627418773523,-0.9874378368774006,-0.9898799084720342,0.8690880878451284
15.0,-0.09704634373495116,-0.06169899979816621,-0.05238014685085485,-0.08506002868415688,-0.015051761956241277,-0.9857510940098937,-0.9885994550999258,0.8537514412063059
16.0,-0.09490481177284708,-0.05987243288973046,-0.050802928923514665,-0.08365928552156891,-0.01394292698489881,-0.9839702772003255,-0.987267770257053,0.8381026122765289
17.0,-0.09250755873427957,-0.05784865605295067,-0.04907460360487713,-0.0821425572460574,-0.012757802852768077,-0.9820939798789333,-0.9858866240798373,0.8221956351303661
18.0,-0.0898250692830628,-0.055607485450403185,-0.04718192822409646,-0.08050167062237065,-0.01149263640914789,-0.980120295706482,-0.9844574409332008,0.80607879421927
19.0,-0.08682420787682617,-0.05312644505767134,-0.04511026013909347,-0.0787276203973383,-0.010143252558432712,-0.9780468637683628,-0.9829813425248893,0.7897952020544845
20.0,-0.08346783199883798,-0.050380560870148826,-0.042843462276427505,-0.0768105396884579,-0.008705059880804642,-0.9758709053777092,-0.9814591852858398,0.773383319754567
21.0,-0.07971435469463486,-0.04734212713186427,-0.04036379338329933,-0.07473966152366067,-0.007173051113521983,-0.9735892537253427,-0.97989159277029,0.7568774260619344
22.0,-0.0755172533085885,-0.04398044365680069,-0.03765178314990583,-0.07250327214941994,-0.0055417991381628146,-0.9711983774214819,-0.9782789837302646,0.7403080398869566
